S,family,base,strategy,n_DMC,n_bank,min_mean,bks_per_dmc,bank8,maxload,minload,note
512KiB,align2MiB,0x200000,sns,384,2304,0.9000,6-6,1,42,36,
512KiB,align2MiB,0x400000,sns,384,2304,0.9000,6-6,1,42,36,
512KiB,align2MiB,0x600000,sns,384,2304,0.9000,6-6,1,42,36,
512KiB,align2MiB,0x0,mod384,3,3,1.0000,1-1,1,5120,5120,
512KiB,align2MiB,0x200000,mod384,3,3,1.0000,1-1,1,5120,5120,
512KiB,align2MiB,0x400000,mod384,3,3,1.0000,1-1,1,5120,5120,
512KiB,align2MiB,0x600000,mod384,3,3,1.0000,1-1,1,5120,5120,
512KiB,align2MiB,0x0,low,1,1,1.0000,1-1,1,15360,15360,
512KiB,align2MiB,0x200000,low,1,1,1.0000,1-1,1,15360,15360,
512KiB,align2MiB,0x400000,low,1,1,1.0000,1-1,1,15360,15360,
512KiB,align2MiB,0x600000,low,1,1,1.0000,1-1,1,15360,15360,
512KiB,align2MiB,0x0,high,384,384,1.0000,1-1,1,40,40,
512KiB,align2MiB,0x200000,high,384,384,1.0000,1-1,1,40,40,
512KiB,align2MiB,0x400000,high,384,384,1.0000,1-1,1,40,40,
512KiB,align2MiB,0x600000,high,384,384,1.0000,1-1,1,40,40,
512KiB,align2MiB,0x0,shear,384,2304,0.9250,6-6,1,42,37,
512KiB,align2MiB,0x200000,shear,384,2304,0.9250,6-6,1,42,37,
512KiB,align2MiB,0x400000,shear,384,2304,0.9250,6-6,1,42,37,
512KiB,align2MiB,0x600000,shear,384,2304,0.9250,6-6,1,42,37,
512KiB,align2MiB,0x0,sbox,3,3,0.7500,1-1,1,7680,3840,
512KiB,align2MiB,0x200000,sbox,3,3,0.7500,1-1,1,7680,3840,
512KiB,align2MiB,0x400000,sbox,3,3,0.7500,1-1,1,7680,3840,
512KiB,align2MiB,0x600000,sbox,3,3,0.7500,1-1,1,7680,3840,
512KiB,align2MiB,REL_DIFF,sns,384.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
512KiB,align2MiB,REL_DIFF,mod384,3.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
512KiB,align2MiB,REL_DIFF,low,1.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
512KiB,align2MiB,REL_DIFF,high,384.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
